Param_A,Param_B,N,Spearman_rho,p_hodnota,p_FDR
Krvný obraz_RET: Nezrelé formy RET,Krvný obraz_RET: Retikulocyty_%,34,0.673,1.2927309887251168e-05,7.025423414346165e-05
Ak.TLyCD3+HLADR+_ap,Aktiv.TLy_CD3+HLADR+,359,0.668,8.146399075686251e-48,2.230779022751498e-46
Cholest-HDL_S,Cholinesteráza_S,34,0.667,1.6640532383113048e-05,8.87634779428356e-05
Urea_S,GF-(S+U)-dospelí,38,-0.665,5.273078240805375e-06,3.0125778834385385e-05
ABR_artéria: pH_B,ABR_artéria: HCO3_B -  stand.,298,0.665,2.147516543239618e-39,5.015872279118122e-38
ALT_S,GMT_S,7569,0.663,0.0,0.0
CVK_S,Cholinesteráza_S,61,0.66,7.048229884767085e-09,5.224901336980781e-08
C4_S,C3_S,1199,0.66,1.2206058568824184e-150,8.521438471180224e-149
CRP_S,Albumín_S,4155,-0.66,0.0,0.0
Antitrombín III,Factor V,40,0.658,3.985962374490095e-06,2.3083700059376092e-05
Krvný obr._DIFF_5pop: Neutrofily_#,Diff.rozpočet_ WBC: Neutrofilné segmenty,205,0.657,9.779386549078259e-27,1.6746210982828619e-25
Amyláza_S,ABR_artéria: PCO2_B,32,-0.655,4.777179143730486e-05,0.0002372902197038294
AFP_S,Haptoglobín_S,34,-0.654,2.7284962328267056e-05,0.00014092793957030944
Transferín_S,T3f_S,33,0.653,3.83059189118272e-05,0.0001925296699737644
Krvný obr._DIFF_RET: Lymfocyty_%,Krvný obr._DIFF_RET: Neutrofily_#,298,-0.65,3.827993199483461e-37,8.328507122026859e-36
Ak.TLyCD3+HLADR+_ap,T Ly_CD3+_ a.p.,359,0.649,2.335899379268579e-44,5.983858369553743e-43
Diff.rozpočet_ WBC: Lymfocyty,Diff.rozpočet_ WBC: Neutrofilné segmenty,288,-0.649,9.25796865190623e-36,1.934732725182904e-34
ALT_S,GF(S)-Cockroft,37,0.649,1.4029907468801071e-05,7.559966255241154e-05
Kreatinín_S,MIA_UJ (album/kreat),37,0.649,1.3704103737116368e-05,7.415857840025578e-05
ELFO_S: Albumín,Transferín_S,300,0.646,9.293739067306399e-37,1.9879839829830824e-35
AST_S,Bili-priamy_S,4742,0.646,0.0,0.0
ABR_artéria: pH_B,ABR_artéria: BE_B,298,0.643,3.4278572732512524e-36,7.210985846677222e-35
Fosfor_U (zbieraný),Horčík_U (zbieraný),55,0.641,1.3787034049549023e-07,9.219897612293153e-07
Kalcium-S,CVK_S,74,0.638,9.7835384593485e-10,7.692428197059533e-09
ABR_artéria: pH_B,ABR_artéria: BB_B,298,0.638,1.9585039118802767e-35,4.062462522416767e-34
Urea_S,Proteinúria kvant._U,37,0.637,2.201246231512734e-05,0.000115479085952109
NKbb._CD16+CD56+_ap,NKbb._ CD16+CD56+,354,0.637,1.121462163699175e-41,2.740249663838792e-40
Kreatinín_U (zbier.),Fosfor_U (zbieraný),52,0.635,4.2098111352835773e-07,2.679852719685027e-06
GF(S)- MDRD,MIA_UJ (album/kreat),35,-0.634,4.2612754737527424e-05,0.00021282926953420736
Krvný obr._DIFF_5pop: Lymfocyty_%,Krvný obr._DIFF_5pop: Lymfocyty_#,5477,0.633,0.0,0.0
Ak.TLyCD3+HLADR+_ap,Cyt.TLy_CD8+_a.p,353,0.632,9.389795378194752e-41,2.251070567459293e-39
Krvný obraz_RET: Nezrelé formy RET,Krvný obraz_RET: Erytrocyty_RBC,34,-0.63,6.630872571204798e-05,0.00032454494179402223
LD_S,CK-MB_S,171,0.63,2.5215898456286092e-20,3.5441726303713616e-19
Kreatinín_S,Tub. resorbcia,123,-0.628,7.158161002046107e-15,7.591952728881288e-14
Krvný obr._DIFF_5pop: Neutrofily_#,Diff.rozpočet_ WBC: Lymfocyty,207,-0.625,8.74323299729027e-24,1.368122148566135e-22
ALP_S,CEA _S,54,0.623,4.958291488336358e-07,3.134330927900585e-06
FE_Fosforu,FE_Chloridov,50,0.623,1.340434801289622e-06,8.125746462397871e-06
Kalcium-S,Cholinesteráza_S,61,0.621,9.313147615611218e-08,6.31445323393576e-07
Lymfocyty,Pomoc.TLy_CD4+_a.p,355,0.62,5.261034423479153e-39,1.2109910033464876e-37
Krvný obr._DIFF_5pop: Leukocyty_WBC,Krvný obr._DIFF_5pop: Monocyty_#,5475,0.62,0.0,0.0
IgA_S,CVK_S,99,-0.619,8.526587345340727e-12,7.727447846640462e-11
Lymfocyty,Cyt.TLy_CD8+_a.p,353,0.619,9.88868890060806e-39,2.251714716328423e-37
Tub. resorbcia,GF(S)-Cockroft,74,0.619,4.248875249891409e-09,3.1906742863546245e-08
Bielkoviny_S,Kalcium-S,1181,0.618,1.8146957957494363e-125,1.087619093433601e-123
Kalcium-S,T3f_S,101,0.618,5.620439465315424e-12,5.18238779726399e-11
ABR_kapilára: PCO2_B,ABR_kapilára: BE_B,102,0.618,4.449327225495898e-12,4.108513933659221e-11
Kálium_U (zbieraný),Fosfor_U (zbieraný),55,0.617,5.223234380999778e-07,3.288722301535341e-06
Kreatinín_UJ (jednor,MIA_UJ (album/kreat),54,-0.617,6.777066518045078e-07,4.2251917163042574e-06
Kalcium-S,Kalcium ionizované_S,341,0.617,4.298783015740368e-37,9.289172958843047e-36
Proteinúria kvant._U,GF(S)-Cockroft,60,-0.616,1.6144516460633523e-07,1.0661758115842491e-06
T Ly_CD3+_ a.p.,B Ly _CD19+_ a.p.,354,0.616,2.0370668560037308e-38,4.5891793390750715e-37
AST_S,LD_S,1582,0.614,1.3399874375655757e-164,1.0134452608159646e-162
CRP_S,CVK_S,133,-0.613,4.644100500345096e-15,4.9669983970862616e-14
Albumín_S,NVK_S,156,0.613,1.9196531526300857e-17,2.3680692191570745e-16
Elementy_CSF: Ly_CSF,Elementy_CSF: Le_CSF,71,0.611,1.5496438411023617e-08,1.125129979716949e-07
FE_ Kália,FE_Chloridov,50,0.611,2.4916119299636524e-06,1.472484706145031e-05
GF-rozdiel,GF-(S+U)-dospelí,74,0.61,7.73137618515362e-09,5.7113294074745295e-08
Prokalcitonín_S,Cholest-HDL_S,53,-0.61,1.2721784029930996e-06,7.726720262155987e-06
AST_S,Bili-celkový_S,4769,0.609,0.0,0.0
ABR_kapilára: PCO2_B,ABR_kapilára: HCO3_B -  stand.,102,0.607,1.3965428060032068e-11,1.2478532273612337e-10
Nátrium-S,ABR_artéria: BE_B,167,0.606,4.065971710961659e-18,5.1559118322833174e-17
Pomoc.TLy_CD4+_a.p,B Ly _CD19+_ a.p.,354,0.605,1.119960973417591e-36,2.3876214980275018e-35
C4_S,Haptoglobín_S,105,0.605,7.784671206855122e-12,7.085389137127592e-11
ABR_kapilára: PCO2_B,ABR_kapilára: BB_B,101,0.605,2.1053145350642163e-11,1.8448363091397195e-10
Quickov test: PT_INR,APTT: APTT_ratio,3438,0.604,0.0,0.0
Quickov test: PT_%,APTT: APTT_sekundy,3441,-0.602,0.0,0.0
Quickov test: PT_%,APTT: APTT_ratio,3440,-0.601,0.0,0.0
Quickov test: PT_INR,APTT: APTT_sekundy,3439,0.601,0.0,0.0
FE_H2O,FE_Chloridov,50,0.6,4.061367634632462e-06,2.3456244166200025e-05
Krvný obraz_RET: Trombocyty_PLT,Krvný obraz_RET: Erytrocyty_RBC,34,0.6,0.00017664919006316862,0.0008091220652280534
Krvný obr._DIFF_RET: Eozinofily_%,Krvný obr._DIFF_RET: Neutrofily_%,298,-0.6,1.4975871730396484e-30,2.84005113740922e-29
Tub. resorbcia,FE_Chloridov,50,-0.6,4.061367634632462e-06,2.3456244166200025e-05
AST_S,GMT_S,7573,0.599,0.0,0.0
Krvný obraz: Hemoglobín_HGB,Krvný obraz: Šírka dist.kriv._RBC,3759,-0.599,0.0,0.0
Nátrium-S,ABR_artéria: PCO2_B,167,0.598,1.4611052863994307e-17,1.8059147635205414e-16
Nátrium-S,ABR_artéria: HCO3_B -  stand.,167,0.598,1.3241438739582152e-17,1.6398218384515675e-16
Prokalcitonín_S,CVK_S,35,-0.597,0.0001551483340083554,0.0007173634395597394
Kalcium-S,GF(S)-Cockroft,34,0.597,0.0001923624739775143,0.0008766705862117278
Kalcium-S,Transferín_S,148,0.596,1.4262459260258777e-15,1.5649292518207947e-14
Tub. resorbcia,FE_ Kália,50,-0.596,4.976288832669745e-06,2.8481408066622424e-05
FE_H2O,FE_ Kália,50,0.596,4.976288832669745e-06,2.8481408066622424e-05
T Ly_CD3+,NKbb._ CD16+CD56+,354,-0.595,2.796795900341114e-35,5.768845569762045e-34
FE_H2O,FE_ Nátria,50,0.595,5.297362398315943e-06,3.0183088176234247e-05
Tub. resorbcia,FE_ Nátria,50,-0.595,5.297362398315943e-06,3.0183088176234247e-05
T3f_S,NT-proBNP,30,-0.594,0.0005324753580092092,0.0022627531434331145
Moč chemicky _ úplne: Bielkoviny,Beta2 mikroglob. _S,35,0.592,0.0001769698900007127,0.000810006996523435
Chloridy-S,HbA1c %,34,-0.592,0.00022795209817760763,0.0010256230026362192
Ak.TLyCD3+HLADR+_ap,Pomoc.TLy_CD4+_a.p,355,0.592,6.557960220838942e-35,1.3483081321355921e-33
Krvný obr._DIFF_RET: Leukocyty_WBC,Krvný obr._DIFF_RET: Monocyty_#,298,0.588,4.366686293508787e-29,7.9946853091243e-28
Urea_S,GF(S)- MDRD,6862,-0.586,0.0,0.0
Feritin_S,Saturácia Trf,519,0.585,4.615811629732804e-49,1.2918172371670706e-47
C3_S,Haptoglobín_S,105,0.584,6.212626727568606e-11,5.31208850608928e-10
Beta2 mikroglob. _S,Cholinesteráza_S,33,-0.584,0.0003596111811611231,0.0015680232216311702
Amyláza_S,ABR_artéria: HCO3_B - akt.,32,-0.582,0.000479972449379307,0.002060314169531579
T Ly_CD3+,Pomoc.TLy_CD4+,355,0.581,2.136129035979217e-33,4.267555901124518e-32
GF(S)- MDRD,Proteinúria kvant._U,64,-0.58,5.003023763856728e-07,3.1594642119067385e-06
Bili-priamy_S,APTT: APTT_sekundy,30,0.58,0.0007715831202134714,0.0031584198213377474
Kreatinín_S,Beta2 mikroglob. _S,143,0.579,3.735510789452827e-14,3.8525487086678264e-13
FE_ Nátria,FE_Fosforu,50,0.578,1.0854545935252932e-05,5.949864566579972e-05
Albumín_S,CEA _S,52,-0.578,7.294370460189138e-06,4.079325311054718e-05
IgG_S,Haptoglobín_S,78,-0.578,3.0058971256476566e-08,2.121829382137729e-07
Bili-priamy_S,Vitamín B12,202,0.578,2.1506184437661805e-19,2.9445859856134794e-18
FE_Fosforu,FE_ Kália,50,0.578,1.1172737028037348e-05,6.103215678342328e-05
ABR_kapilára: HCO3_B -  stand.,ABR_kapilára: pH_B,102,0.576,2.3783465986448323e-10,1.9572067281335e-09
Proteinúria kvant._U,FE_H2O,50,-0.575,1.2565012500654784e-05,6.834377090467452e-05
Proteinúria kvant._U,GF-(S+U)-dospelí,60,-0.575,1.5806326675589274e-06,9.49126591399042e-06
Kalcium-S,ELFO_S: Albumín,356,0.574,1.5675678673586936e-32,3.083207015891573e-31
Bili-priamy_S,NVK_S,116,-0.573,1.8219857820737678e-11,1.6098853509756114e-10
IgA_S,Haptoglobín_S,78,-0.573,4.120505079156356e-08,2.86720358903399e-07
Tub. resorbcia,FE_Horčíka,50,-0.572,1.399254376417282e-05,7.54623349183276e-05
FE_H2O,FE_Horčíka,50,0.572,1.399254376417282e-05,7.54623349183276e-05
T Ly_CD3+,B Ly_ CD19+,354,-0.571,4.6713607893888805e-32,9.13143233691925e-31
ELFO_S: alfa2_globulín,C3_S,1052,0.571,5.6880815830309934e-92,2.637692138466854e-90
ELFO_S: Albumín,Beta2 mikroglob. _S,138,-0.57,2.8971148556754133e-13,2.8359585020193994e-12
Kalcium_U (zbieraný),FE_ Kalcia,50,0.569,1.6071908175157618e-05,8.616441572723742e-05
C3_S,Meď_S,121,0.567,1.2472244159148803e-11,1.1191549031507393e-10
GMT_S,T3f_S,224,-0.567,1.942743338773124e-20,2.7366404503826294e-19
NVK_S,Cholinesteráza_S,61,0.567,1.928163911254513e-06,1.1501995613333261e-05
CRP_S,Cholinesteráza_S,94,-0.567,2.4709570410488716e-09,1.8890481446189508e-08
AST_S,Vitamín B12,242,0.567,5.627299791076423e-22,8.237381468366018e-21
Krvný obr._DIFF_RET: Stredná konc._HGB,Krvný obr._DIFF_RET: Stred. far.konc._HGB,299,0.566,1.0247254742913178e-26,1.7500217575733179e-25
ABR_kapilára: pH_B,ABR_kapilára: BE_B,102,0.565,6.329549773711367e-10,5.070823418964478e-09
Cholest-HDL_S,CVK_S,49,0.564,2.451396111326422e-05,0.00012723627038608462
Antitrombín III,Protein C,34,0.564,0.000519183464428658,0.0022121881619820683
