Param_A,Param_B,N,Spearman_rho,p_hodnota,p_FDR
"ELFO_S: beta1,2_globulín",Moč chemický A: Špec. hmotnosť,38,0.065,0.699618505298855,0.8167358258294057
Horčík-S,Horčík_U (zbieraný),50,-0.065,0.652998713812922,0.7901906340673321
APTT: APTT_sekundy,Krvný obr._DIFF_RET: Bazofily_%,104,-0.065,0.5096273718246807,0.6768832476206041
Krvný obr._DIFF_5pop: Hemoglobín_HGB,Diff.rozpočet_ WBC: Lymfocyty,210,0.065,0.3503476286877848,0.5309538370833723
Krvný obr._DIFF_5pop: Stredná konc._HGB,Diff.rozpočet_ WBC: Neutrofil.nesegmenty,131,-0.065,0.45796008958675594,0.6347648261751144
Močový sediment A: Epitélie,Moč chemický A: Špec. hmotnosť,476,0.065,0.15753224374853708,0.2976806497722951
AST_S,Močový sediment A: Kryštály,137,0.065,0.4526649666209669,0.6309665876121948
GF(S)- MDRD,Vitamín B12,230,-0.065,0.32420450464710127,0.5021139000543721
Imunoblot ANA: PM-Scl,Imunoblot ANA: SS-B/La,415,0.065,0.18566660155811157,0.33624285054124364
Kys. močová_S,C4_S,254,0.064,0.3108498224569739,0.4867707473673047
CK-celková_S,Moč chemický A: pH,45,-0.064,0.6748091746382767,0.8025201584569397
Albumín_S,ABR_artéria: O2_B sat,57,-0.064,0.6368951514498657,0.780482331509846
ALT_S,Moč chemický A: Špec. hmotnosť,141,-0.064,0.4485200545458232,0.6279083090633792
Chloridy-S,Krvný obraz: Stred. far.konc._HGB,49,-0.064,0.6608235019218626,0.7943636154606609
Imunoblot ANA: Rib-PO,Imunoblot Liver Pro: SLA,164,0.064,0.417035821027234,0.5982076334193102
Kalcium-S,GF-rozdiel,34,0.064,0.7188074406772197,0.8281798459598071
Cyt.TLy_CD8+_a.p,CCP,59,0.064,0.6285294871489338,0.7751624027413797
Moč chemicky _ úplne: pH,C3_S,165,-0.064,0.4119016303969665,0.5939198951229977
APTT: APTT_ratio,Krvný obr._DIFF_RET: Erytrocyty_RBC,104,-0.064,0.5215619817571531,0.686163443798549
Krvný obr._DIFF_5pop: Stredná konc._HGB,Krvný obr._DIFF_5pop: Neutrofily_%,5473,0.064,2.3003440298908705e-06,1.363254255773946e-05
Krvný obr._DIFF_RET: Monocyty_#,Krvný obr._DIFF_RET: Neutrofily_%,298,0.064,0.2671358552807382,0.43835552556779883
Imunoblot ANA: dsDNA,Imunoblot ANA: Jo-1,419,-0.064,0.18993048009024685,0.3420148356046877
Feritin_S,TSH_S,229,-0.064,0.3363392913654022,0.5156282620763514
Chloridy-S,Bielkoviny_S,2809,-0.064,0.0007069848737465755,0.002927949741142108
Kálium-S,APTT: APTT_sekundy,44,0.064,0.6784493962606635,0.8041397415007453
Krvný obr._DIFF_RET: Retikulocyty_#,Krvný obr._DIFF_RET: Monocyty_%,298,-0.064,0.26896831855129216,0.44051449542571774
Bili-priamy_S,ASLO_S,301,-0.064,0.26977199437331895,0.44148930454757734
Nátrium-S,Krvný obr._DIFF_5pop: Hematokrit_HCT,52,0.064,0.6500484183352964,0.7878209846783933
Imunoblot ANA: PM-Scl,AMAM2,144,0.064,0.4428219929789253,0.6222623581940085
Glukóza_ S,Moč chemicky _ úplne: pH,650,-0.064,0.10379431519994171,0.21458030734306205
Diff.rozpočet_ WBC: Monocyty,Diff.rozpočet_ WBC: Bazofily,39,0.064,0.6987991973458036,0.8161615565749245
ANA  HEp-2,Imunoblot Liver Pro: AMA-M2,43,-0.064,0.6857108950519641,0.8064274928295313
GMT_S,Tub. resorbcia,37,0.064,0.7057829028880881,0.8207319865842618
Glukóza_ S,ASLO_S,582,0.063,0.12889821888901343,0.2547885453023965
GMT_S,GF(S)-Cockroft,37,0.063,0.7091432228152994,0.8230155086857137
Diff.rozpočet_ WBC: Neutrofilné segmenty,Diff.rozpočet_ WBC: Bazofily,39,-0.063,0.7032186928335213,0.8189822833311385
CK-celková_S,NT-proBNP,144,-0.063,0.4513043863708639,0.6298630858115329
GF(S)- MDRD,CK-celková_S,1452,0.063,0.01716475118525729,0.04916486216408457
Imunoblot ANA: Nucleosomes,DNP / Nucleo-h /,97,0.063,0.5415083537557043,0.7027992995730314
GF(S)- MDRD,Močový sediment A: Hlienové vlákna,128,0.063,0.4768001724883666,0.6504426660550984
Nátrium-S,Krvný obraz: Trombocyty_PLT,50,0.063,0.6626918846440851,0.7961576291875706
B Ly _CD19+_ a.p.,Imunoreg.index_IRI,354,0.063,0.23816688935611746,0.40267466026894483
Cholest-celk._S,Močový sediment A: Kryštály,55,0.063,0.6494302183805085,0.7873721712540783
GF(S)- MDRD,Amoniak_B,601,-0.063,0.1234198544171453,0.2461809529394424
ELFO_S: alfa2_globulín,Moč chemický A: Špec. hmotnosť,38,-0.063,0.7054206138136723,0.820493804386353
Krvný obr._DIFF_RET: Stredná konc._HGB,Krvný obr._DIFF_RET: Neutrofily_%,298,0.063,0.27957480928354356,0.4519437056942372
Nátrium-S,Nátrium_U (zbieraný),53,-0.063,0.6529366288788394,0.7901906340673321
Glukóza_ S,TSH_S,535,-0.063,0.14808034599690248,0.28370157964967474
Cholest-LDL_S,Ceruloplazmín,109,0.063,0.514738586505411,0.681249282972341
Imunoblot ANA: SS-A/Ro60kD,SLA a LP,135,0.063,0.4661324199556477,0.6411212955137973
Chloridy-S,Kys. močová_S,772,-0.063,0.07801802922278812,0.1713268370730636
GMT_S,ABR_artéria: HCO3_B - akt.,79,-0.063,0.5816835905403837,0.7365827886591703
Albumín_S,ABR_artéria: BE_B,57,-0.063,0.6434480777282834,0.7840978147368318
"ELFO_S: beta1,2_globulín",ASLO_S,941,0.063,0.05338737801336686,0.12683994484626765
Chloridy_CSF,Glukóza_CSF,72,-0.063,0.5994071308160955,0.7522784476638986
CK-celková_S,Triacylglyceroly_S,296,0.063,0.28067189290353056,0.45303070289865216
GMT_S,ELFO_S: alfa2_globulín,1155,-0.063,0.031480999071779876,0.08177675130815022
Glukóza_ S,Haptoglobín_S,63,-0.063,0.6253660637152391,0.7732484629783795
APTT: APTT_sekundy,Krvný obr._DIFF_RET: Monocyty_#,103,0.062,0.531774030844181,0.6949928858163097
Amyláza_S,Kys. močová_S,136,0.062,0.470954410409984,0.6452390272449059
LD_S,CVK_S,118,0.062,0.5080785972291098,0.6761935227755739
Močový sediment A: Kvasinky,Močový sediment A: Leukocyty,470,0.062,0.17751052685520344,0.3253676794896444
Imunoblot Liver Pro: LKM1,Imunoblot Liver Pro: LC1,188,0.062,0.3978047548868542,0.5797297009578293
C4_S,Vitamin D total,256,-0.062,0.3226711116017619,0.5008379115577799
Krvný obraz: Leukocyty_WBC,Krvný obraz: Erytrocyty_RBC,3776,0.062,0.00014267673212696436,0.0006645346621719975
Kreatinín_S,Močový sediment A: Baktérie,154,0.062,0.44695981186366995,0.6266509832227014
IgM_S,anti TPO_S,85,0.062,0.5747455436835489,0.7305918603514787
ELFO_S: alfa1_globulín,Horčík-S,275,0.062,0.30264533570857904,0.47792836633273744
Chloridy_U (zbieraný,Addisov sediment: Valce,37,-0.062,0.7134934410304148,0.8256895997170334
Kreatinín_S,CEA _S,62,0.062,0.6323112897878544,0.7776559773229835
Urea_S,Transferín_S,544,-0.062,0.15087909743338984,0.2877836885661337
Močový sediment: Leukocyty,Močový sediment: Erytrocyty,731,0.062,0.09190010537743874,0.19572288617595318
GF(S)- MDRD,Krvný obraz: Stredný objem_PLT,48,-0.062,0.6779447441747907,0.8037189609830315
Imunoblot ANA: dsDNA,Imunoblot ANA: SS-A/Ro60kD,419,0.062,0.20651150438335567,0.36292316414471243
Glukóza_ S,Amoniak_P,85,0.062,0.5752415628643932,0.7309019297754981
Imunoblot Liver Pro: Sp100,LKM1,139,0.062,0.4705120998949377,0.645050360516301
Imunoblot ANA: dsDNA,Imunoblot ANA: PCNA,419,0.062,0.20732528837045477,0.36374967053783464
Imunoblot ANA: Rib-PO,Imunoblot Liver Pro: LKM1,164,0.061,0.43625115504071277,0.616097884033789
AST_S,Krvný obr._DIFF_5pop: Hemoglobín_HGB,38,0.061,0.7149756652185102,0.8264629550824591
Moč chemicky _ úplne: pH,Močový sediment: Erytrocyty,868,-0.061,0.07121476663454207,0.15902545252346073
Reumat. faktor_S,Cholest-celk._S,323,-0.061,0.27629214570236044,0.4484334985501661
Krvný obr._DIFF_5pop: Stredný objem_PLT,Diff.rozpočet_ WBC: Eozinofily,156,-0.061,0.447030104826898,0.6266509832227014
Reumat. faktor_S,C3_S,947,-0.061,0.061224126120448634,0.14164489193124916
ALP_S,"ELFO_S: beta1,2_globulín",1161,-0.061,0.038476506630333446,0.09661709352668316
Krvný obr._DIFF_5pop: Neutrofily_%,APTT: APTT_ratio,1491,-0.061,0.019063264162071387,0.053659245556774274
Amyláza_S,Fosfor_S,126,0.061,0.4941232366352152,0.6645310999617109
Fosfor_S,FE_Horčíka,50,-0.061,0.67335696169873,0.8023128226859629
Imunoblot ANA: Jo-1,Imunoblot ANA: SS-B/La,415,-0.061,0.21339292887918523,0.37176427255097705
AST_S,anti TG_S,79,0.061,0.59041306170705,0.7444456081787529
Imunoblot ANA: AMA-M2,Imunoblot ANA: Jo-1,419,-0.061,0.21594103574921025,0.37462408523067525
Krvný obr._DIFF_RET: Trombocyty_PLT,Krvný obr._DIFF_RET: Nezrelé formy RET,298,0.061,0.2969411969321806,0.47102807093886223
Urea_S,Kreatinín_U (zbier.),43,-0.061,0.6956988130391943,0.8138049271290742
Albumín_S,ABR_artéria: HCO3_B - akt.,57,-0.061,0.6547513751271312,0.7905275119762272
CK-celková_S,Moč chemicky _ úplne: Ketolátky,218,0.061,0.3688660228080397,0.5490324317333425
Krvný obr._DIFF_5pop: Erytrocyty_RBC,Krvný obr._DIFF_5pop: Stred.far.konc._HGB,5478,0.061,5.372311585179e-06,3.058270206150733e-05
Chloridy-S,Osmolalita_S,130,0.061,0.48923202458398474,0.6606332810867868
Imunoblot Liver Pro: SLA,Imunoblot Liver Pro: LC1,188,0.061,0.40802555602976487,0.5899377235905999
Krvný obr._DIFF_RET: Bazofily_#,Krvný obr._DIFF_RET: Erytrocyty_RBC,299,0.061,0.2899303006892261,0.46396151140520236
Močový sediment A: Hlienové vlákna,Močový sediment A: Kvasinky,478,-0.061,0.18667336855007347,0.3375849446053563
LD_S,ASLO_S,739,-0.061,0.09869700931464495,0.20692147175762762
Chloridy-S,Krvný obraz: Hematokrit_HCT,49,-0.061,0.6789387654539475,0.804169609898356
Moč chemický A: pH,Močový sediment A: Spermie,478,-0.061,0.1844175076010432,0.33474412165412215
ELFO_S: alfa1_globulín,Moč chemický A: pH,39,0.061,0.7121341518077245,0.8249796255350974
ALT_S,Močový sediment A: Baktérie,139,-0.06,0.4858684966010075,0.6578692580789004
Imunoblot ANA: Nucleosomes,LKM1,133,0.06,0.4918245274991673,0.6625447886349045
ABR_artéria: O2_B sat,ABR_artéria: pH_B,298,-0.06,0.30469325946774933,0.4798503414473504
Aktiv.TLy_CD3+HLADR+,Pomoc.TLy_CD4+_a.p,355,-0.06,0.2608133678173563,0.43048774376296817
Horčík-S,Tub. resorbcia,80,-0.06,0.5942922119049743,0.7481992017501304
AST_S,Močový sediment A: Zhluky leukocytov,140,-0.06,0.4786121332023111,0.6520223977305805
Moč chemicky _ úplne: Ketolátky,Saturácia Trf,34,0.06,0.7368991314020021,0.8410826099749462
ALT_S,anti TPO_S,141,0.06,0.482066149882759,0.6546975513884645
Glukóza_ S,Tub. resorbcia,39,-0.06,0.7179966994202978,0.8280543048244936
Kálium-S,Močový sediment: Leukocyty,478,-0.06,0.1893022325735237,0.34098017679035897
Imunoblot ANA: SS-A/Ro52kD,Imunoblot Liver Pro: AMA-M2,164,-0.06,0.4451479713055071,0.6248398280388613
Fibrinogén,Krvný obr._DIFF_RET: Nezrelé formy RET,104,0.06,0.546577789533756,0.7067797062707006
Imunoblot Liver Pro: LKM1,LKM1,139,0.06,0.4819604810346504,0.6546975513884645
Chloridy-S,Močový sediment A: Baktérie,125,-0.06,0.5074202738422527,0.6755324810812723
Kálium-S,Fibrinogén,44,0.06,0.7002784442470362,0.8172059067416277
LD_S,Kys. močová_S,216,-0.06,0.3833658576869634,0.5644318178181411
Glukóza_ S,CK-MB_S,721,0.06,0.10601222981818428,0.21845465327114005
ELFO_S: alfa1_globulín,Vitamin D total,279,-0.06,0.32007395396798044,0.49766691832849
Imunoblot ANA: Mi-2,Imunoblot Liver Pro: LKM1,164,0.06,0.4455527164531701,0.6252698050865892
CK-celková_S,Beta2 mikroglob. _S,48,0.06,0.6850630208014628,0.8062101725550995
IgA_S,Močový sediment A: Leukocyty,39,0.059,0.7214363306580076,0.8301118210940138
ALP_S,Železo_S,907,-0.059,0.0771662977080913,0.1699454827032091
Imunoblot ANA: Scl-70,ANA  HEp-2,217,0.059,0.3902298968446971,0.5708809052045324
AST_S,Močový sediment: Erytrocyty,362,0.059,0.2656566585155537,0.43666668862854147
Chloridy_U (zbieraný,FE_ Kália,50,0.059,0.6836089470017906,0.8058831124981626
IgM_S,Ceruloplazmín,241,-0.059,0.3610045626655436,0.5410384493074306
Kálium-S,Prealbumín_S,163,0.059,0.45269096589585767,0.6309665876121948
Albumín_S,Žlčové kyseliny,319,-0.059,0.2942238453162799,0.4685398822057818
Cholest-LDL_S,Meď_S,58,-0.059,0.6594425670700892,0.7933429591795325
LD_S,"ELFO_S: beta1,2_globulín",801,-0.059,0.09583699204322366,0.20174036131563947
Amyláza_S,Reumat. faktor_S,54,-0.059,0.6705753113966919,0.8003315711634763
Reumat. faktor_S,ELFO_S: alfa2_globulín,953,0.059,0.06748737171173451,0.15276827994100126
Nátrium_U (zbieraný),FE_Horčíka,50,-0.059,0.683262778422425,0.8058024267005142
Moč chemicky _ úplne: pH,Fosfor_S,112,-0.059,0.5336910252168026,0.6966258554978287
LD_S,ELFO_S: alfa1_globulín,805,0.059,0.09601562985639259,0.2019825485025371
GMT_S,Bielkoviny_S,4261,-0.059,0.00011622626380313222,0.0005485776032253336
p-ANCA,Imunoblot Liver Pro: SLA,90,0.059,0.5784428040869265,0.733941908201367
Imunoblot ANA: dsDNA,CCP,197,-0.059,0.4113170479463649,0.5935319956737488
Urea_S,ELFO_S: gama_globulín,1224,-0.059,0.037487596639630826,0.0943576471678188
Nátrium-S,Krvný obr._DIFF_5pop: Lymfocyty_#,52,0.059,0.6763352067182773,0.802935817445108
Aktiv.TLy_CD3+HLADR+,Cyt.TLy_CD8+_a.p,353,0.059,0.27052124436880853,0.4422597698082966
Kys. močová_S,Horčík-S,415,-0.059,0.23128959925317555,0.3941477532337511
Bielkoviny_S,Moč chemicky _ úplne: pH,485,0.059,0.1971524807060054,0.351677047808166
Imunoblot ANA: Scl-70,LKM1,133,0.059,0.5035215316440801,0.6725972015422289
CRP_S,Krvný obr._DIFF_5pop: Hemoglobín_HGB,55,-0.059,0.6701004589300876,0.8002389992147408
Kys. močová_S,Cholinesteráza_S,35,0.059,0.7370229639116206,0.8410826099749462
Imunoblot ANA: SS-A/Ro52kD,Imunoblot Liver Pro: LKM1,164,-0.059,0.4498710551712226,0.6290234383417932
Krvný obr._DIFF_5pop: Stredný objem_RBC,Krvný obr._DIFF_5pop: Monocyty_%,5475,0.059,1.4611516877400201e-05,7.853381279367469e-05
Krvný obr._DIFF_5pop: Hematokrit_HCT,Diff.rozpočet_ WBC: Eozinofily,158,-0.059,0.4620055095123262,0.6379311023542292
AST_S,Amoniak_B,558,0.059,0.16278519382457798,0.3053363851099923
Albumín_S,Horčík-S,872,0.059,0.08293808481982984,0.18081868663705522
Krvný obr._DIFF_5pop: Neutrofily_#,Quickov test: PT_%,1561,-0.059,0.01980562865484717,0.05528346170660987
AST_S,Krvný obr._DIFF_5pop: Monocyty_#,38,0.058,0.7313182184770115,0.8369779574823373
Kálium-S,Vitamin D total,136,0.058,0.5005297014378545,0.6695862693692755
Imunoblot ANA: U1-sn RNP,Imunoblot Liver Pro: Sp100,164,-0.058,0.4591765058513454,0.6359599611235224
Imunoblot ANA: CENP-B,Imunoblot ANA: SS-A/Ro60kD,419,0.058,0.2371364382665158,0.401526597096795
Horčík-S,Vitamin D total,69,0.058,0.6388026076824993,0.7819485484791749
Horčík-S,GF(S+U)-deti,48,0.058,0.6943888301538684,0.8131709194410187
dsDNA IgG,LKM1,30,0.058,0.7627787506327403,0.8579910415668907
"ELFO_S: beta1,2_globulín",Močový sediment A: Hyalínové valce,39,-0.058,0.7273530494664996,0.8343677914154798
"ELFO_S: beta1,2_globulín",Močový sediment A: Spermie,39,-0.058,0.7273530494664996,0.8343677914154798
Bili-celkový_S,Močový sediment: Valce,54,0.058,0.6792258688911591,0.804169609898356
ELFO_S: Albumín,Saturácia Trf,251,-0.058,0.3571621705135898,0.5369494582975156
Imunoblot ANA: SS-A/Ro52kD,Imunoblot Liver Pro: gp210,163,-0.058,0.45947995430385424,0.6361028872722567
Krvný obr._DIFF_5pop: Trombocyty_PLT,Krvný obr._DIFF_5pop: Bazofily_%,5476,-0.058,1.988982706424272e-05,0.00010503746578481628
ALT_S,Proteinúria kvant._U,34,-0.058,0.746629369197993,0.8489952358179434
Krvný obr._DIFF_5pop: Stredný objem_RBC,D_dimer INOV,208,0.058,0.40566717418961895,0.5879998990706479
Imunoblot ANA: Rib-PO,AMAM2,144,-0.058,0.49147358496419935,0.6623529243270171
Krvný obr._DIFF_5pop: Trombocyty_PLT,Diff.rozpočet_ WBC: Monocyty,206,-0.058,0.4037924621760537,0.5859510078128071
Moč chemický A: pH,Močový sediment A: Baktérie,473,-0.058,0.21132325124498616,0.3689300948500679
Krvný obr._DIFF_RET: Retikulocyty_%,Krvný obr._DIFF_RET: Neutrofily_%,298,0.058,0.32229354798916954,0.5004964337265202
Kalcium-S,Močový sediment A: Zhluky leukocytov,84,-0.058,0.6018938543425281,0.7543562155529849
Horčík-S,NT-proBNP,36,-0.058,0.7353880108377941,0.840575752582315
Krvný obr._DIFF_5pop: Stredný objem_RBC,Krvný obr._DIFF_5pop: Leukocyty_WBC,5478,-0.058,2.0314261703201924e-05,0.00010701202703187547
Moč chemický A: pH,Močový sediment A: Zhluky leukocytov,476,-0.058,0.20980364807740606,0.36678111619035797
Krvný obr._DIFF_5pop: Neutrofily_#,Antitrombín III,81,-0.058,0.6066332064790887,0.7580528640365166
Bili-celkový_S,Amyláza_S,2099,-0.058,0.007379714393835097,0.02364262508524174
IgG_S,Prealbumín_S,157,-0.058,0.46980236541500076,0.6444945859385661
Imunoblot ANA: Mi-2,Imunoblot Liver Pro: LC1,164,0.058,0.4575356626272986,0.6345663659082528
Nátrium-S,Moč chemicky _ úplne: pH,611,0.058,0.15048104411781718,0.2875206235430053
Bielkoviny_S,Vitamín B12,280,-0.058,0.3359784752029913,0.5152826188582633
ELFO_S: alfa1_globulín,Vitamín B12,179,0.058,0.43685861784240554,0.6163363977687769
NKbb._ CD16+CD56+,CCP,59,0.058,0.6647470364935133,0.7975955955485629
IgG_S,C4_S,1046,0.057,0.06333281418965711,0.14530638084033645
Nátrium-S,Krvný obr._DIFF_5pop: Stredný objem_PLT,52,-0.057,0.6886736932992206,0.8086182223122216
Kys. močová_S,Prokalcitonín_S,93,0.057,0.586821042317935,0.7411569304616551
Imunoblot ANA: Mi-2,Imunoblot Liver Pro: SLA,164,-0.057,0.46768207376856563,0.6429742944496207
Urea_S,Reumat. faktor_S,1448,-0.057,0.031047235166184628,0.08080421344152845
Krvný obr._DIFF_RET: Nezrelé formy RET,Krvný obr._DIFF_RET: Stredný objem_PLT,274,-0.057,0.3508493096924713,0.5313338890289083
IgM_S,ELFO_S: Albumín,1390,-0.057,0.03302909647834246,0.08519441734750696
Urea_S,Močový sediment A: Baktérie,152,-0.057,0.4841227873155285,0.6564604743079256
Moč chemicky _ úplne: Ketolátky,Horčík-S,256,0.057,0.36343127824023713,0.5435214008145542
APTT: APTT_sekundy,Krvný obr._DIFF_RET: Eozinofily_#,103,0.057,0.5653821785879928,0.722568975787018
Imunoblot ANA: Scl-70,DNP / Nucleo-h /,97,-0.057,0.5811603138385212,0.7362136538018196
Krvný obr._DIFF_5pop: Stred.far.konc._HGB,Diff.rozpočet_ WBC: Lymfocyty,210,0.057,0.4128776791661881,0.5943829358130055
ALT_S,Krvný obr._DIFF_5pop: Leukocyty_WBC,38,-0.057,0.7320085925165387,0.837466340402948
LD_S,Transferín_S,188,-0.057,0.43439102437896093,0.6144149998516556
CK-MB_S,Etanol v sére,64,0.057,0.6552355236047429,0.7909388716437263
AFP_S,CA 19-9_S,45,0.057,0.7088430092682938,0.8228670752230236
Močový sediment A: Hyalínové valce,Močový sediment A: Kryštály,471,-0.057,0.21750584538749151,0.3768172827862608
Močový sediment A: Spermie,Močový sediment A: Kryštály,472,-0.057,0.21808462839414133,0.3775181591792861
Reumat. faktor_S,IgM_S,920,0.057,0.0824602870449358,0.17990048200428474
Krvný obr._DIFF_5pop: Lymfocyty_#,Trombínový čas,131,0.057,0.5160293254533839,0.6818996777659508
Moč chemicky _ úplne: Bielkoviny,Transferín_S,46,-0.057,0.7088858024076197,0.8228670752230236
C3_S,Cholest-HDL_S,179,-0.057,0.45111646772960845,0.6297391605111409
Kalcium-S,Parathormón_S,34,0.057,0.7481011633200474,0.8501361453057891
GMT_S,Krvný obr._DIFF_5pop: Monocyty_#,30,0.057,0.766375971468603,0.86050177950503
Amyláza_S,Moč chemicky _ úplne: Bielkoviny,182,0.057,0.4480429187454731,0.6276552729415634
c-ANCA,Imunoblot Liver Pro: AMA-M2,88,0.057,0.5969220421714869,0.7501640823971141
Imunoblot Liver Pro: Sp100,SLA a LP,137,0.057,0.510206378533332,0.6771132489705991
Moč chemický A: Špec. hmotnosť,Močový sediment A: Leukocyty,469,0.057,0.21397879216500792,0.37223638187959895
GF(S)- MDRD,IGG4,76,0.056,0.6280538954983836,0.7751624027413797
AST_S,Laktát_P,61,-0.056,0.6689698075783772,0.7997676303246952
Proteinúria kvant._U,Tub. resorbcia,109,-0.056,0.5596089049190087,0.7179587076234797
FE_ Kalcia,GF(S)-Shull,48,-0.056,0.7044973431890851,0.8201707204105292
CRP_S,Kys. močová_S,1177,0.056,0.05348703204901039,0.1270292017223787
ALT_S,GF(S)- MDRD,5898,-0.056,1.8656951675109884e-05,9.877301165997757e-05
Kálium-S,IgG_S,613,0.056,0.16678291964071043,0.31145558156303155
Albumín_S,ABR_artéria: HCO3_B -  stand.,57,-0.056,0.6791233573381203,0.804169609898356
IgG_S,Močový sediment A: Epitélie,39,0.056,0.7364002139418839,0.8410571526967379
IgG_S,Močový sediment A: Baktérie,38,-0.056,0.7387994418308481,0.8427638265673638
Krvný obr._DIFF_RET: Retikulocyty_#,Krvný obr._DIFF_RET: Lymfocyty_%,298,-0.056,0.3319575428168873,0.5106359006091247
Kreatinín_S,Kálium_U (zbieraný),55,-0.056,0.682575074451597,0.8057226770700476
Nátrium-S,C3_S,413,-0.056,0.2532448950983804,0.42161027740042206
Nátrium-S,"ELFO_S: beta1,2_globulín",599,-0.056,0.17372734969249562,0.32093336801291794
Krvný obr._DIFF_5pop: Stred.far.konc._HGB,Krvný obr._DIFF_5pop: Bazofilily_#,5477,0.056,3.841346355994358e-05,0.0001929175762816771
Nátrium-S,ABR_artéria: PO2_B,167,-0.056,0.47061565929980087,0.6450531356055307
Cholest-HDL_S,Moč chemický A: pH,49,0.056,0.7011620104682474,0.8173889596963726
Močový sediment: Erytrocyty,Prealbumín_S,35,-0.056,0.7502764134000246,0.8514622357614893
Krvný obr._DIFF_5pop: Bazofilily_#,Krvný obr._DIFF_5pop: Monocyty_%,5474,0.056,3.317551283809862e-05,0.00016928837996822534
AST_S,Krvný obr._DIFF_5pop: Stredný objem_PLT,38,0.056,0.7364474109014609,0.8410571526967379
APTT: APTT_ratio,Krvný obr._DIFF_RET: Neutrofily_%,103,-0.056,0.5747675299916088,0.7305918603514787
Imunoblot ANA: Nucleosomes,Imunoblot ANA: SS-A/Ro52kD,419,0.056,0.2517285628044283,0.41952559273256373
Moč chemicky _ úplne: Ketolátky,Kalcium ionizované_S,98,-0.056,0.5848345881874804,0.7395410308031574
Amyláza_S,Močový sediment: Erytrocyty,108,0.056,0.5617037097531636,0.719339179055534
Nátrium-S,Triacylglyceroly_S,702,-0.056,0.13810848885799942,0.2693899999124564
Kreatinín_S,HbA1c,55,0.056,0.6825533729560217,0.8057226770700476
Glukóza_ S,APTT: APTT_ratio,34,-0.056,0.7526126782401255,0.8526898715728088
Krvný obr._DIFF_5pop: Bazofilily_#,APTT: APTT_sekundy,1492,0.056,0.03101339848809897,0.08074922975200523
ANA,Imunoblot Liver Pro: AMA-M2,152,-0.056,0.49453965455696824,0.6647927264918365
ANA,Imunoblot ANA: PM-Scl,341,0.056,0.30533131984894823,0.48025993438979153
Krvný obr._DIFF_5pop: Lymfocyty_#,Krvný obr._DIFF_5pop: Neutrofily_#,5473,0.056,3.559620711965889e-05,0.00018048100864420823
T Ly_CD3+_ a.p.,B Ly_ CD19+,354,0.056,0.2910293244231039,0.46536856231059126
ALT_S,Močový sediment A: Erytrocyty,141,0.055,0.5155031779258197,0.6817795154891363
Imunoblot Liver Pro: LC1,AMAM2,147,0.055,0.5093409349416738,0.6768745902907586
Krvný obr._DIFF_5pop: Hemoglobín_HGB,Diff.rozpočet_ WBC: Neutrofilné segmenty,209,0.055,0.43305224177911517,0.6132815185070706
Moč chemicky _ úplne: pH,T4f_S,47,0.055,0.7128805059814735,0.82539271997454
Reumat. faktor_S,Triacylglyceroly_S,251,0.055,0.38840487647217903,0.5694511054490784
Bielkoviny_S,Triacylglyceroly_S,759,0.055,0.1318834145539488,0.2592374172837985
Imunoblot ANA: Ku,Imunoblot ANA: PM-Scl,419,0.055,0.2643790871777114,0.43501692329448344
Reumat. faktor_S,HBDH_S,32,0.055,0.7665007980826327,0.86050177950503
c-ANCA,IgE celkové FOOKE,71,0.055,0.6493943060515833,0.7873721712540783
Kálium-S,Osmolalita_S,129,0.055,0.5344361869134211,0.6970382047753981
APTT: APTT_ratio,Diff.rozpočet_ WBC: Monocyty,48,0.055,0.7112677005910648,0.8245773178567583
Fosfor_S,Vitamín B12,46,0.055,0.7151461164886663,0.8265019122321512
Fosfor_S,Horčík_U (zbieraný),50,0.055,0.7058837674636245,0.8207319865842618
Imunoblot ANA: SS-A/Ro60kD,LC1,112,-0.055,0.5681102106812267,0.7251766462643827
GMT_S,ABR_artéria: pH_B,79,-0.055,0.6303545219961261,0.7762438996397342
AST_S,Horčík-S,907,-0.055,0.0983740603365643,0.2064652809111969
Quickov test: PT_%,Krvný obr._DIFF_RET: Eozinofily_#,105,0.055,0.5798869097165558,0.735186896313965
LD_S,Cholest-LDL_S,77,0.055,0.6373501906445516,0.7806218934190932
ALT_S,Nátrium-S,5084,-0.055,7.60135551672456e-05,0.00036835554231694223
Imunoblot ANA: PM-Scl,Imunoblot Liver Pro: LC1,164,0.055,0.48609861147829525,0.6579004002389454
C4_S,Močový sediment A: Hlienové vlákna,36,-0.055,0.7509299919709673,0.8519032569627778
ASLO_S,C3_S,933,0.055,0.0945027944016513,0.1997053598292637
Krvný obr._DIFF_RET: Neutrofily_%,Krvný obr._DIFF_RET: Šírka dist.kriv._RBC,296,-0.055,0.34942126345547464,0.5300239636957775
AST_S,Tub. resorbcia,40,0.055,0.7367103748169997,0.8410571526967379
ELFO_S: alfa2_globulín,Vitamin D total,279,-0.055,0.35837326423482696,0.5379833052183023
Kalcium-S,T4f_S,202,0.055,0.4387495862249602,0.6177695304271216
GF(S)- MDRD,Močový sediment A: Hyalínové valce,127,-0.054,0.5446044547770814,0.7049454158921756
Imunoblot ANA: Rib-PO,Imunoblot Liver Pro: Sp100,164,-0.054,0.49146786804442943,0.6623529243270171
