Marker,Genotyp,Lab_parameter,N,Median,Q1,Q3,Priemer,SD
HFE_H63D,het,CK-celková_S,134,1.625,0.87,2.622,7.859,42.773
HFE_H63D,hom,CK-celková_S,15,2.81,1.485,84.945,63.188,119.873
HFE_H63D,wt,CK-celková_S,437,1.4,0.78,2.75,3.221,6.743
HFE_H63D,het,Moč chemicky _ úplne: pH,150,5.0,5.0,6.0,5.607,0.818
HFE_H63D,wt,Moč chemicky _ úplne: pH,445,6.0,5.0,6.0,5.807,0.837
HFE_H63D,het,Moč chemicky _ úplne: Bielkoviny,150,0.3,0.0,0.3,0.284,0.61
HFE_H63D,wt,Moč chemicky _ úplne: Bielkoviny,445,0.3,0.0,0.3,0.296,0.571
HFE_H63D,het,Moč chemicky _ úplne: Ketolátky,150,0.0,0.0,0.0,0.483,2.189
HFE_H63D,wt,Moč chemicky _ úplne: Ketolátky,441,0.0,0.0,0.0,0.8,2.817
HFE_H63D,het,LD_S,69,3.83,3.12,5.39,5.226,5.087
HFE_H63D,hom,LD_S,15,3.06,2.665,3.56,3.189,0.566
HFE_H63D,wt,LD_S,245,3.72,3.03,5.66,5.382,7.151
HFE_H63D,het,Reumat. faktor_S,41,10.0,10.0,10.0,11.515,7.097
HFE_H63D,wt,Reumat. faktor_S,135,10.0,9.0,10.0,15.874,41.428
HFE_H63D,het,IgA_S,104,2.725,1.73,4.71,3.682,2.797
HFE_H63D,hom,IgA_S,8,1.56,1.05,2.38,1.929,1.236
HFE_H63D,wt,IgA_S,343,2.81,2.055,4.595,3.689,2.731
HFE_H63D,het,IgG_S,109,11.4,9.02,14.5,12.469,4.746
HFE_H63D,hom,IgG_S,13,14.7,11.1,17.0,15.791,6.612
HFE_H63D,wt,IgG_S,356,11.55,9.525,14.8,12.96,5.514
HFE_H63D,het,IgM_S,110,1.245,0.752,1.752,1.407,0.859
HFE_H63D,hom,IgM_S,11,0.55,0.385,1.145,1.517,1.978
HFE_H63D,wt,IgM_S,353,1.1,0.77,1.7,1.463,1.497
HFE_H63D,het,ELFO_S: alfa1_globulín,115,2.45,2.12,3.045,2.643,0.835
HFE_H63D,hom,ELFO_S: alfa1_globulín,11,2.21,2.015,2.5,2.369,0.573
HFE_H63D,wt,ELFO_S: alfa1_globulín,355,2.5,2.09,3.125,2.644,0.866
HFE_H63D,het,ELFO_S: alfa2_globulín,115,6.3,5.37,7.73,6.554,1.933
HFE_H63D,hom,ELFO_S: alfa2_globulín,11,6.47,5.875,7.345,6.743,1.119
HFE_H63D,wt,ELFO_S: alfa2_globulín,355,6.69,5.36,8.02,6.778,1.954
HFE_H63D,het,ELFO_S: Albumín,115,36.5,31.15,42.23,36.175,7.379
HFE_H63D,hom,ELFO_S: Albumín,11,38.13,37.005,43.975,40.041,3.967
HFE_H63D,wt,ELFO_S: Albumín,355,37.61,31.175,42.505,36.615,7.278
HFE_H63D,het,ELFO_S: gama_globulín,114,12.655,10.19,17.513,14.71,6.641
HFE_H63D,hom,ELFO_S: gama_globulín,11,8.63,4.12,17.39,10.754,7.322
HFE_H63D,wt,ELFO_S: gama_globulín,351,12.48,10.075,17.335,14.695,7.329
HFE_H63D,het,"ELFO_S: beta1,2_globulín",113,8.87,7.54,10.5,9.245,3.09
HFE_H63D,hom,"ELFO_S: beta1,2_globulín",11,8.63,6.695,9.22,8.445,2.35
HFE_H63D,wt,"ELFO_S: beta1,2_globulín",350,8.895,7.512,10.298,9.037,2.609
HFE_H63D,het,Kys. močová_S,88,305.0,239.0,429.5,332.977,136.262
HFE_H63D,hom,Kys. močová_S,13,374.0,304.0,395.0,360.0,83.822
HFE_H63D,wt,Kys. močová_S,242,310.0,245.75,389.0,321.595,121.495
HFE_H63D,het,ASLO_S,32,51.0,25.0,85.0,121.125,309.577
HFE_H63D,wt,ASLO_S,122,79.0,34.25,157.0,138.016,200.407
HFE_H63D,het,Železo_S,160,17.9,9.95,26.05,19.611,11.722
HFE_H63D,hom,Železo_S,14,25.2,19.625,29.075,26.3,11.001
HFE_H63D,wt,Železo_S,492,17.3,11.0,24.6,19.069,11.063
HFE_H63D,het,Močový sediment: Leukocyty,101,2026.0,20.0,2026.0,1271.594,975.451
HFE_H63D,wt,Močový sediment: Leukocyty,335,2026.0,20.0,2026.0,1225.316,981.836
HFE_H63D,het,Feritin_S,157,264.56,77.1,682.2,898.945,2331.999
