Marker,Lab_parameter,Test,Statistika,p_hodnota,n_het,n_hom,n_wt,median_het,median_hom,median_wt,p_FDR,Vyznamne_FDR,n_all_wt,n_any_het,n_any_hom,median_all_wt,median_any_het,median_any_hom
HFE_overall,Krvný obr._DIFF_5pop: Hematokrit_HCT,Kruskal-Wallis,13.953,0.0009333791036161334,,,,,,,0.01108157666686866,True,787.0,461.0,49.0,0.357,0.369,0.393
HFE_S65C,Krvný obr._DIFF_RET: Šírka dist.kriv._RBC,Mann-Whitney U,845.0,0.0012574852208338707,7.0,,140.0,18.0,,14.45,0.01182729698067035,True,,,,,,
HFE_S65C,Krvný obr._DIFF_RET: Stred. far.konc._HGB,Mann-Whitney U,137.0,0.0012970586549112717,7.0,,141.0,310.0,,334.0,0.01182729698067035,True,,,,,,
HFE_S65C,Krvný obr._DIFF_RET: Stredná konc._HGB,Mann-Whitney U,138.5,0.0013614154797893928,7.0,,141.0,24.6,,30.7,0.01182729698067035,True,,,,,,
HFE_S65C,Krvný obr._DIFF_5pop: Eozinofily_%,Mann-Whitney U,37329.0,0.0015339857479660381,47.0,,1249.0,2.9,,1.7,0.01254258935101643,True,,,,,,
HFE_H63D,Troponín T hs,Kruskal-Wallis,14.056,0.000886719592510683,41.0,12.0,129.0,14.0,62.5,6.0,0.013822393647960647,True,,,,,,
HFE_H63D,Krvný obraz: Trombocyty_PLT,Kruskal-Wallis,14.172,0.0008366967349752116,461.0,5.0,1482.0,160.0,185.0,181.0,0.013822393647960647,True,,,,,,
HFE_H63D,Kalcium-S,Kruskal-Wallis,13.79,0.0010127436959466167,233.0,20.0,813.0,2.15,2.275,2.15,0.014909837745880746,True,,,,,,
HFE_S65C,Krvný obr._DIFF_5pop: Leukocyty_WBC,Mann-Whitney U,21588.0,0.002008245720254558,47.0,,1250.0,5.9,,7.05,0.015508119728632419,True,,,,,,
HFE_S65C,Krvný obraz: Stredná konc._ HGB,Mann-Whitney U,84430.0,0.0023259578711488254,111.0,,1837.0,30.7,,31.4,0.01701621810998351,True,,,,,,
HFE_overall,Fibrinogén,Kruskal-Wallis,12.761,0.0016940834953288653,,,,,,,0.018160575069925435,True,1277.0,657.0,38.0,2.8,2.83,3.515
HFE_overall,Krvný obr._DIFF_5pop: Stredný objem_PLT,Kruskal-Wallis,12.821,0.0016441301604405382,,,,,,,0.018160575069925435,True,760.0,455.0,49.0,11.0,10.7,10.6
HFE_S65C,Kreatinín_S,Mann-Whitney U,190633.5,0.0026237281835049444,151.0,,2953.0,73.8,,77.7,0.018234910875359365,True,,,,,,
HFE_H63D,Krvný obraz: Stredný objem_RBC,Kruskal-Wallis,13.036,0.00147648315642755,461.0,5.0,1482.0,95.4,101.6,93.7,0.018881514664720756,True,,,,,,
HFE_H63D,APTT: APTT_sekundy,Kruskal-Wallis,12.972,0.0015243729147531224,486.0,16.0,1505.0,30.2,26.6,29.3,0.018881514664720756,True,,,,,,
HFE_H63D,Nátrium-S,Kruskal-Wallis,12.888,0.0015900074599044887,660.0,36.0,2181.0,139.0,139.0,139.0,0.018881514664720756,True,,,,,,
HFE_H63D,Krvný obr._DIFF_5pop: Lymfocyty_%,Kruskal-Wallis,12.828,0.0016387729709002922,335.0,35.0,927.0,19.9,27.3,20.1,0.018881514664720756,True,,,,,,
HFE_H63D,D_dimer INOV,Kruskal-Wallis,13.206,0.0013560232313402647,18.0,5.0,67.0,3755.0,190.0,910.0,0.018881514664720756,True,,,,,,
HFE_S65C,Krvný obr._DIFF_5pop: Stred.far.konc._HGB,Mann-Whitney U,21871.5,0.002910308855894987,47.0,,1250.0,328.0,,336.0,0.019263472903304917,True,,,,,,
HFE_overall,D_dimer INOV,Kruskal-Wallis,12.565,0.0018689420740746405,,,,,,,0.01926447984046168,True,55.0,29.0,6.0,1000.0,3470.0,190.0
HFE_H63D,Kalcium ionizované_S,Mann-Whitney U,1681.0,0.0018477305432818268,21.0,,112.0,1.137,,1.06,0.020402024748736838,True,,,,,,
HFE_overall,Kálium-S,Kruskal-Wallis,12.183,0.0022623704822186804,,,,,,,0.022456121823503938,True,1885.0,908.0,83.0,4.0,4.1,4.1
HFE_H63D,Bielkoviny_S,Kruskal-Wallis,12.13,0.0023233214062013466,434.0,23.0,1309.0,69.45,75.7,69.6,0.024627206905734274,True,,,,,,
HFE_overall,Bielkoviny_S,Kruskal-Wallis,11.744,0.0028165330639991367,,,,,,,0.026958245041134594,True,1136.0,586.0,44.0,69.5,69.8,73.4
HFE_S65C,Krvný obraz: Erytrocyty_RBC,Mann-Whitney U,118361.0,0.004357825976575351,111.0,,1837.0,4.06,,3.7,0.02753353685199881,True,,,,,,
HFE_H63D,Triacylglyc._ascites,Mann-Whitney U,750.0,0.0027423583556960983,22.0,,47.0,0.51,,0.36,0.02795096016382562,True,,,,,,
HFE_overall,Moč chemický A: pH,Mann-Whitney U,328.5,0.0030492746289846944,,,,,,,0.028179503467858556,True,40.0,28.0,,5.5,6.0,
HFE_C282Y,T3f_S,Mann-Whitney U,474.0,0.004450926255078737,7.0,,82.0,4.9,,3.5,0.029468201412935085,True,,,,,,
HFE_C282Y,Urea_S,Kruskal-Wallis,10.707,0.004730411387164515,216.0,51.0,2819.0,4.9,4.3,5.0,0.030274632877852894,True,,,,,,
HFE_S65C,Moč chemicky _ úplne: pH,Mann-Whitney U,14390.5,0.00537959616962009,42.0,,554.0,6.0,,6.0,0.0325114725033562,True,,,,,,
HFE_overall,Urea_S,Kruskal-Wallis,11.2,0.0036980740350920516,,,,,,,0.03303612804682233,True,1996.0,1003.0,87.0,4.9,5.1,4.7
HFE_overall,Foláty,Kruskal-Wallis,11.061,0.003963533568230793,,,,,,,0.03326967046375509,True,191.0,94.0,8.0,6.5,5.15,11.75
HFE_overall,Krvný obr._DIFF_5pop: Lymfocyty_%,Kruskal-Wallis,11.057,0.003972497965821504,,,,,,,0.03326967046375509,True,787.0,461.0,49.0,20.1,19.7,25.8
HFE_H63D,Moč chemicky _ úplne: pH,Mann-Whitney U,28499.5,0.003627514107400747,150.0,,445.0,5.0,,6.0,0.03560337920226659,True,,,,,,
HFE_overall,ALT_S,Kruskal-Wallis,10.594,0.0050076228739959925,,,,,,,0.037441405809332966,True,2035.0,1034.0,94.0,0.88,0.81,0.665
HFE_overall,Krvný obr._DIFF_5pop: Hemoglobín_HGB,Kruskal-Wallis,10.685,0.004784621913577088,,,,,,,0.037441405809332966,True,787.0,461.0,49.0,121.0,122.0,131.0
HFE_overall,IgA_S,Kruskal-Wallis,10.585,0.005029442571402936,,,,,,,0.037441405809332966,True,304.0,141.0,10.0,2.835,2.64,1.295
HFE_overall,Krvný obraz: Stred. far.konc._HGB,Kruskal-Wallis,10.723,0.0046940114902594785,,,,,,,0.037441405809332966,True,1269.0,635.0,44.0,332.0,335.0,335.0
HFE_S65C,Troponín T hs,Mann-Whitney U,724.5,0.0069439546343754936,15.0,,167.0,0.117,,9.0,0.04021707059075807,True,,,,,,
HFE_C282Y,NSE_S,Mann-Whitney U,444.0,0.006537977436783624,5.0,,103.0,28.82,,14.66,0.04049327960846632,True,,,,,,
HFE_H63D,Krvný obraz_RET: Stredný objem_PLT,Mann-Whitney U,87.0,0.004468016280406976,6.0,,16.0,12.25,,10.65,0.04228658265385175,True,,,,,,
HFE_overall,LD_S,Kruskal-Wallis,10.232,0.005998652048994745,,,,,,,0.04344969592244843,True,214.0,98.0,17.0,3.725,3.795,3.06
HFE_overall,Triacylglyc._ascites,Mann-Whitney U,350.0,0.006283857046067069,,,,,,,0.044317728640683535,True,41.0,28.0,,0.36,0.48,
HFE_overall,Glykémia_3/3,Mann-Whitney U,582.0,0.0066081046051106925,,,,,,,0.045409539337683734,True,50.0,16.0,,10.9,6.05,
HFE_H63D,Antitrombín III,Mann-Whitney U,469.5,0.005439097068921603,23.0,,67.0,54.9,,75.0,0.04970209390566293,True,,,,,,
HFE_S65C,Krvný obr._DIFF_RET: Stredný objem_RBC,Mann-Whitney U,204.0,0.009036560474050588,7.0,,141.0,78.6,,92.9,0.050243276235721265,False,,,,,,
HFE_overall,Glykémia_5/4,Mann-Whitney U,2808.0,0.00851337560523685,,,,,,,0.057039616555086894,False,107.0,41.0,,9.3,7.2,
HFE_C282Y,CEA _S,Mann-Whitney U,422.0,0.00990100412001638,9.0,,61.0,13.52,,1.905,0.05940602472009828,False,,,,,,
HFE_C282Y,Fibrinogén,Kruskal-Wallis,9.158,0.010266452898574255,133.0,22.0,1817.0,2.78,3.815,2.81,0.05973208959170476,False,,,,,,
HFE_C282Y,Quickov test: PT_%,Kruskal-Wallis,9.093,0.01060670582554582,138.0,23.0,1901.0,76.3,72.3,72.7,0.05989669172072934,False,,,,,,
HFE_C282Y,Quickov test: PT_INR,Kruskal-Wallis,9.014,0.011030365818906575,138.0,23.0,1901.0,1.13,1.18,1.18,0.06050943534943035,False,,,,,,
HFE_C282Y,Kalcium-S,Kruskal-Wallis,8.733,0.012695202235468486,62.0,15.0,989.0,2.22,2.17,2.15,0.06770774525583192,False,,,,,,
HFE_overall,Krvný obraz: Stredná konc._ HGB,Kruskal-Wallis,9.132,0.010397287763317603,,,,,,,0.06796275903827116,False,1269.0,635.0,44.0,31.2,31.7,31.55
HFE_C282Y,APTT: APTT_ratio,Kruskal-Wallis,8.638,0.013315260686753934,131.0,22.0,1853.0,1.06,0.995,1.08,0.06909540680693933,False,,,,,,
HFE_S65C,Krvný obr._DIFF_RET: Hemoglobín_HGB,Mann-Whitney U,218.0,0.012968377835571327,7.0,,141.0,104.0,,119.0,0.06933094304401594,False,,,,,,
HFE_S65C,Triacylglyceroly_S,Mann-Whitney U,1833.0,0.014528365316054372,14.0,,425.0,1.0,,1.63,0.0747941769974651,False,,,,,,
HFE_C282Y,ANA  HEp-2,Mann-Whitney U,47.0,0.015009120540529407,5.0,,56.0,1.41,,6.33,0.07583555641530648,False,,,,,,
HFE_overall,Krvný obr._DIFF_5pop: Stredný objem_RBC,Kruskal-Wallis,8.8,0.012276752455013286,,,,,,,0.07833737280818001,False,787.0,461.0,49.0,91.9,93.0,94.9
HFE_S65C,APTT: APTT_ratio,Mann-Whitney U,103870.0,0.01744509353933949,95.0,,1911.0,1.11,,1.08,0.08660242864172105,False,,,,,,
HFE_S65C,GF(S)- MDRD,Mann-Whitney U,247258.0,0.019644258399829945,151.0,,2944.0,1.45,,1.36,0.0910183972525454,False,,,,,,
HFE_S65C,CK-MB_S,Mann-Whitney U,6232.0,0.019039472672778328,26.0,,376.0,0.585,,0.37,0.0910183972525454,False,,,,,,
HFE_H63D,Krvný obr._DIFF_RET: Stredný objem_PLT,Mann-Whitney U,1557.5,0.010388406540628805,22.0,,105.0,11.55,,10.8,0.09176425777555444,False,,,,,,
HFE_H63D,Krvný obr._DIFF_5pop: Lymfocyty_#,Kruskal-Wallis,9.011,0.011049390097330417,335.0,35.0,927.0,1.27,1.55,1.38,0.09400104908589729,False,,,,,,
HFE_H63D,Imunoblot ANA: Jo-1,Mann-Whitney U,3175.0,0.011351070078297032,42.0,,140.0,0.0,,0.0,0.09400104908589729,False,,,,,,
HFE_overall,Krvný obraz_RET: Stredný objem_PLT,Mann-Whitney U,20.0,0.01522116149088316,,,,,,,0.09486677394317876,False,14.0,8.0,,10.65,12.0,
HFE_S65C,Cholest-celk._S,Mann-Whitney U,2239.0,0.021199370487951487,15.0,,459.0,3.23,,4.74,0.09505524186533086,False,,,,,,
HFE_overall,Factor V,Mann-Whitney U,1983.0,0.016626575430073016,,,,,,,0.10127095943771747,False,82.0,38.0,,110.1,78.95,
HFE_H63D,Foláty,Kruskal-Wallis,8.675,0.01307061399625832,65.0,6.0,222.0,4.7,15.9,6.4,0.1049609911820744,False,,,,,,
HFE_H63D,Krvný obr._DIFF_5pop: Stredný objem_PLT,Kruskal-Wallis,8.559,0.013849236441900746,331.0,35.0,898.0,10.7,10.7,10.9,0.10794257815010876,False,,,,,,
HFE_overall,Antitrombín III,Mann-Whitney U,1192.5,0.01845874136456201,,,,,,,0.10806076532479257,False,59.0,31.0,,79.0,62.8,
HFE_overall,Chloridy-S,Kruskal-Wallis,7.975,0.018547743302016636,,,,,,,0.10806076532479257,False,1768.0,846.0,80.0,103.0,103.0,104.0
HFE_H63D,CK-celková_S,Kruskal-Wallis,8.487,0.014358235607981506,134.0,15.0,437.0,1.625,2.81,1.4,0.10871235531757426,False,,,,,,
HFE_C282Y,Amyláza_U (jednoráz),Mann-Whitney U,566.0,0.022818383312118433,,11.0,72.0,,13.86,5.33,0.10952823989816847,False,,,,,,
